#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,tremendously,correct
2,provisions,stipulations,interpretations,wrong
3,haphazardly,randomly,randomly,guess
4,prominent,conspicuous,conspicuous,correct
5,zenith,pinnacle,pinnacle,correct
6,flawed,imperfect,imperfect,guess
7,urgently,desperately,desperately,correct
8,consumed,eaten,supplied,wrong
9,advent,coming,coming,correct
10,concisely,succinctly,powerfully,wrong
11,salutes,greetings,information,guess
12,solitary,alone,fearless,wrong
13,hasten,accelerate,accompany,wrong
14,perseverance,endurance,endurance,correct
15,fanciful,imaginative,logical,wrong
16,showed,demonstrated,repeated,wrong
17,constantly,continually,continually,correct
18,issues,subjects,benefits,wrong
19,furnish,supply,supply,correct
20,costly,expensive,expensive,correct
21,recognized,acknowledged,welcomed,wrong
22,spot,location,sea,wrong
23,make,earn,earn,correct
24,often,frequently,frequently,correct
25,easygoing,relaxed,farming,guess
26,debate,argument,war,wrong
27,narrow,thin,thin,correct
28,arranged,planned,explained,wrong
29,infinite,limitless,unusual,wrong
30,showy,striking,incidental,wrong
31,levied,imposed,imposed,correct
32,deftly,skillfully,skillfully,correct
33,distribute,circulate,research,wrong
34,discrepancies,differences,differences,guess
35,prolific,productive,promising,wrong
36,unmatched,unequaled,alienated,guess
37,peculiarly,uniquely,partly,wrong
38,hue,color,color,correct
39,hind,rear,hairy,wrong
40,highlight,accentuate,imitate,guess
41,hastily,hurriedly,hurriedly,correct
42,temperate,mild,mild,correct
43,grin,smile,smile,correct
44,verbally,orally,overtly,guess
45,physician,doctor,doctor,correct
46,essentially,basically,ordinarily,wrong
47,keen,sharp,sharp,correct
48,situated,positioned,isolated,wrong
49,principal,major,numerous,wrong
50,slowly,gradually,gradually,correct
51,built,constructed,constructed,correct
52,tasks,jobs,jobs,correct
53,unlikely,improbable,improbable,correct
54,halfheartedly,apathetically,apathetically,guess
55,annals,chronicles,chronicles,correct
56,wildly,furiously,furiously,correct
57,hailed,acclaimed,remembered,wrong
58,command,mastery,observation,wrong
59,concocted,devised,requested,guess
60,prospective,potential,potential,correct
61,generally,broadly,accurately,wrong
62,sustained,prolonged,prolonged,correct
63,perilous,dangerous,dangerous,correct
64,tranquillity,peacefulness,happiness,wrong
65,dissipate,disperse,photograph,wrong
66,primarily,chiefly,consistently,wrong
67,colloquial,conversational,conversational,guess
68,resolved,settled,settled,correct
69,feasible,possible,equitable,wrong
70,expeditiously,rapidly,rapidly,correct
71,percentage,proportion,volume,guess
72,terminated,ended,ended,correct
73,uniform,alike,sharp,wrong
74,figure,solve,divide,wrong
75,sufficient,enough,enough,correct
76,fashion,manner,manner,correct
77,marketed,sold,sweetened,guess
78,bigger,larger,larger,correct
79,roots,origins,function,wrong
80,normally,ordinarily,periodically,wrong
